source,index,text
unknown,4706,HOLLOW | 1.0
unknown,4707,RY | 11.0
unknown,4708,WHISKEY | 2.0
unknown,4709,ANTELOPE | 14.0
unknown,4710,CREEK | 14.0
unknown,4711,ROCKY | 14.0
unknown,4712,LAKE | 14.0
unknown,4713,LAKE | 14.0
unknown,4714,BUCKHORN | 1.0
unknown,4715,MAGGIE | 1.0
unknown,4716,MARVIN | 1.0
unknown,4717,COW | 4.0
unknown,4718,CHINA | 9.0
unknown,4719,CREEK | 1.0
unknown,4720,GROUSE | 1.0
unknown,4721,BULL | 9.0
unknown,4722,CANYON | 9.0
unknown,4723,BUMMER  | 1.0
unknown,4724,PINECREST  | 1.0
unknown,4725,CANAL | 14.0
unknown,4726,CURVE | 14.0
unknown,4727,HOG | 2.0
unknown,4728,BALES | 2.0
unknown,4729,STOKES 2 | 2.0
unknown,4730,BEAR CREEK | 11.0
unknown,4731,ESCORT | 9.0
unknown,4732,RANGE | 9.0
unknown,4733,MENDENHALL | 9.0
unknown,4734,WRIGHT | 9.0
unknown,4735,BRIGGS | 9.0
unknown,4736,GLENDORA | 9.0
unknown,4737,LARGOVISTA | 9.0
unknown,4738,RAMP | 9.0
unknown,4739,LOS BUEYOS | 18.0
unknown,4740,SOUTH FORK | 14.0
unknown,4741,BRAMLETTE | 1.0
unknown,4742,COTTON | 2.0
unknown,4743,WASH | 2.0
unknown,4744,ALLENSWORTH | 14.0
unknown,4745,BODFISH | 1.0
unknown,4746,POTATO | 1.0
unknown,4747,COW | 9.0
unknown,4748,HIGHWAY 2 | 9.0
unknown,4749,BAUTISTA | 7.0
unknown,4750,ANGEL | 3.0
unknown,4751,PACIFIC | 7.0
unknown,4752,CACTUS | 11.0
unknown,4753,MILLER | 7.0
unknown,4754,SCOTT | 10.0
unknown,4755,SEPULVEDA | 9.0
unknown,4756,TECOPA | 1.0
unknown,4757,198 | 10.0
unknown,4758,BRADLEY-LOCKWOOD | 5.0
unknown,4759,COALINGA | 5.0
unknown,4760,GREEN | 11.0
unknown,4761,HWY198 | 7.0
unknown,4762,HWY25 | 10.0
unknown,4763,IDRIA | 7.0
unknown,4764,JOLON | 2.0
unknown,4765,SALINAS | 2.0
unknown,4766,PALERMO | 8.0
unknown,4767,PARHAM | 14.0
unknown,4768,WINDY | 14.0
unknown,4769,CORTEZ | 1.0
unknown,4770,ISABELLA | 8.0
unknown,4771,INDIAN | 1.0
unknown,4772,SAND 2 | 1.0
unknown,4773,BORDER 12 | 2.0
unknown,4774,MESA | 4.0
unknown,4775,TENAJA | 5.0
unknown,4776,TENAJA2 | 9.0
unknown,4777,MONTE | 8.0
unknown,4778,LONG | 2.0
unknown,4779,BLACK | 14.0
unknown,4780,FINE | 14.0
unknown,4781,BUCKEYE | 2.0
unknown,4782,MONO | 1.0
unknown,4783,TAMARACK | 1.0
unknown,4784,CRAGGY | 1.0
unknown,4785,TITUS | 1.0
unknown,4786,DUTCH | 9.0
unknown,4787,ADOBE | 2.0
unknown,4788,BACK | 1.0
unknown,4789,BASE | 2.0
unknown,4790,CALIENTE | 2.0
unknown,4791,FAY | 2.0
unknown,4792,GRANITE | 2.0
unknown,4793,METSON | 9.0
unknown,4794,POST | 14.0
unknown,4795,TOWN | 11.0
unknown,4796,TUCKER | 14.0
unknown,4797,UMTALI | 14.0
unknown,4798,WEST | 2.0
unknown,4799,MUREAU | 14.0
unknown,4800,RIVER | 2.0
unknown,4801,QUAIL | 2.0
unknown,4802,CALGROVE | 14.0
unknown,4803,ECHO LAKE | 16.0
unknown,4804,NEENACH | 14.0
unknown,4805,NEWHALL | 14.0
unknown,4806,LANCASTER | 2.0
unknown,4807,CROWN | 2.0
unknown,4808,HASKELL | 3.0
unknown,4809,OAK | 10.0
unknown,4810,TAMPA | 14.0
unknown,4811,COLIMA | 10.0
unknown,4812,OLIVE | 14.0
unknown,4813,LOST | 2.0
unknown,4814,QUEENS | 14.0
unknown,4815,PIT | 2.0
unknown,4816,SUNNYSIDE | 1.0
unknown,4817,WITCHER | 1.0
unknown,4818,RUSSELL COMPLEX | 1.0
unknown,4819,WILLOW | 1.0
unknown,4820,INDIAN | 14.0
unknown,4821,PLASKETT | 9.0
unknown,4822,WEST | 2.0
unknown,4823,POZO | 9.0
unknown,4824,FIGUEROA | 18.0
unknown,4825,HAGER | 1.0
unknown,4826,POINT | 1.0
unknown,4827,PEAK | 1.0
unknown,4828,DALTON | 1.0
unknown,4829,BIRTHDAY | 1.0
unknown,4830,LEGRAND | 10.0
unknown,4831,ROBINSON | 11.0
unknown,4832,76-2 | 14.0
unknown,4833,COWBOY | 14.0
unknown,4834,FELIPE COMPLEX | 1.0
unknown,4835,NARROWS | 14.0
unknown,4836,PALA 5 | 14.0
unknown,4837,SANTA | 2.0
unknown,4838,SLAUGHTERHOUSE | 14.0
unknown,4839,BASELINE | 14.0
unknown,4840,BRIDGE INCIDENT | 14.0
unknown,4841,CHAMBERLIN FIRE | 14.0
unknown,4842,DOBBINS INCIDENT | 14.0
unknown,4843,DYER INCIDENT | 14.0
unknown,4844,DYER2 INCIDENT | 7.0
unknown,4845,GRAND INCIDENT | 14.0
unknown,4846,MEADOWLARK INCIDENT | 8.0
unknown,4847,MORRISON INCIDENT | 10.0
unknown,4848,NADER2 INCIDENT | 2.0
unknown,4849,ORR INCIDENT | 14.0
unknown,4850,RIOSA INCIDENT | 14.0
unknown,4851,RIOSA2 INCIDENT | 14.0
unknown,4852,ROCKLIN_CLOVER INCIDENT | 14.0
unknown,4853,TWIN BRIDGES | 7.0
unknown,4854,BULLARDS INCIDENT | 14.0
unknown,4855,PATTERSON | 1.0
unknown,4856,CONSTANTIA | 1.0
unknown,4857,MCDONALD | 1.0
unknown,4858,ANNIE | 1.0
unknown,4859,MEADOW VIEW | 1.0
unknown,4860,GULCH | 1.0
unknown,4861,BAR | 7.0
unknown,4862,WOODY | 7.0
unknown,4863,ROCK | 7.0
unknown,4864,CACTUS | 1.0
unknown,4865,CLINTON | 2.0
unknown,4866,GILMAN | 14.0
unknown,4867,GILMER | 14.0
unknown,4868,LEON | 14.0
unknown,4869,MCKINLEY | 2.0
unknown,4870,MINTO | 5.0
unknown,4871,PALMER | 6.0
unknown,4872,PEDLEY | 2.0
unknown,4873,POTRERO | 7.0
unknown,4874,RANCH | 8.0
unknown,4875,RIVER | 2.0
unknown,4876,ROCK | 8.0
unknown,4877,SADDLE | 1.0
unknown,4878,SCOTT | 14.0
unknown,4879,SKINNER | 1.0
unknown,4880,WHITEWATER | 2.0
unknown,4881,FAIRVIEW | 2.0
unknown,4882,MAYWOOD | 9.0
unknown,4883,166 | 14.0
unknown,4884,BRADFORD | 14.0
unknown,4885,CURRY | 11.0
unknown,4886,DIABLO | 14.0
unknown,4887,STUHR | 11.0
unknown,4888,BEAVER | 1.0
unknown,4889,OREGON | 10.0
unknown,4890,BAILEY | 2.0
unknown,4891,CRAM | 2.0
unknown,4892,DESAVADO | 9.0
unknown,4893,EASTMAN | 1.0
unknown,4894,EASY | 10.0
unknown,4895,EMPIRE | 1.0
unknown,4896,GAZELLE | 2.0
unknown,4897,HAMLIN | 2.0
unknown,4898,LOMA | 19.0
unknown,4899,HAMPSHIRE | 14.0
unknown,4900,BALLOON | 7.0
unknown,4901,WILDLIFE | 7.0
unknown,4902,CAHOON | 1.0
unknown,4903,ESHOM | 14.0
unknown,4904,SHEEP COMPLEX | 1.0
unknown,4905,CLARK | 4.0
unknown,4906,WILDCAT2 | 1.0
unknown,4907,VERNON | 1.0
unknown,4908,SLOPE | 1.0
unknown,4909,KEYS | 1.0
unknown,4910,DEER CREEK | 11.0
unknown,4911,TRAVERTINE | 14.0
unknown,4912,DEER | 14.0
unknown,4913,HIGHWAY | 11.0
unknown,4914,STEEP | 2.0
unknown,4915,ISLAND | 2.0
unknown,4916,TUJUNGA | 1.0
unknown,4917,OSITO | 2.0
unknown,4918,MORRIS | 7.0
unknown,4919,STATION | 7.0
unknown,4920,SMOKEY | 2.0
unknown,4921,PARADISE | 10.0
unknown,4922,MCKINLEY | 1.0
unknown,4923,ELM | 9.0
unknown,4924,COTTONWOOD | 9.0
unknown,4925,SHEEP | 9.0
unknown,4926,BASELINE | 8.0
unknown,4927,BUCKLEY | 7.0
unknown,4928,CRAFTON | 14.0
unknown,4929,FORT | 18.0
unknown,4930,OAK GLEN 3 | 7.0
unknown,4931,PARK 2 | 14.0
unknown,4932,PENDLETON | 7.0
unknown,4933,BRYSON | 15.0
unknown,4934,CHALONE | 10.0
unknown,4935,GLORIA | 9.0
unknown,4936,INTERLAKE | 11.0
unknown,4937,SARGENTS | 2.0
unknown,4938,SARGENTS 2 | 11.0
unknown,4939,JORDAN | 5.0
unknown,4940,LAMB | 10.0
unknown,4941,MIDWAY | 2.0
unknown,4942,QUAIL | 14.0
unknown,4943,SPRINGS | 14.0
unknown,4944,WRANGLER | 14.0
unknown,4945,ORTEGA 3 | 9.0
unknown,4946,LOCKHEED | 14.0
unknown,4947,LOMA | 14.0
unknown,4948,AUBERY | 3.0
unknown,4949,BEAR | 7.0
unknown,4950,LODGE | 14.0
unknown,4951,MORGAN | 7.0
unknown,4952,PIEDRA | 11.0
unknown,4953,SAND | 2.0
unknown,4954,VALLEY | 7.0
unknown,4955,MILL CREEK 4 | 9.0
unknown,4956,AHPAH | 14.0
unknown,4957,FRENCH | 14.0
unknown,4958,GOODMAN | 2.0
unknown,4959,ISLAND | 10.0
unknown,4960,KNEELAND | 1.0
unknown,4961,LITTLE | 18.0
unknown,4962,PANTHER | 14.0
unknown,4963,PECWAN | 14.0
unknown,4964,PRATT | 2.0
unknown,4965,RANCH | 18.0
unknown,4966,RIVER | 5.0
unknown,4967,VALLEY | 5.0
unknown,4968,WILSON BRANCH 1 | 14.0
unknown,4969,WILSON BRANCH 2 | 14.0
unknown,4970,IAGUA | 2.0
unknown,4971,N. GLASS | 1.0
unknown,4972,SPOOK | 1.0
unknown,4973,FORKS | 1.0
unknown,4974,BLACKJACK | 1.0
unknown,4975,SIMS | 9.0
unknown,4976,HARRINGTON | 1.0
unknown,4977,REDROCK | 9.0
unknown,4978,TENNANT | 2.0
unknown,4979,BEAR | 14.0
unknown,4980,BITTER | 10.0
unknown,4981,BLUE | 10.0
unknown,4982,BRECKENRIDGE | 14.0
unknown,4983,CAMERON | 14.0
unknown,4984,FOREST | 14.0
unknown,4985,FRANK | 2.0
unknown,4986,HIGHWAY 178 | 14.0
unknown,4987,KECKS | 14.0
unknown,4988,OAK | 11.0
unknown,4989,PARKWAY | 11.0
unknown,4990,PERRY | 7.0
unknown,4991,RANCHO | 14.0
unknown,4992,RIDGE | 10.0
unknown,4993,ROCKY | 15.0
unknown,4994,ROUND | 10.0
unknown,4995,ROUND | 10.0
unknown,4996,SCHOOL | 10.0
unknown,4997,SLUMP | 14.0
unknown,4998,WILLOW | 14.0
unknown,4999,WOFFORD COMPLEX | 10.0
unknown,5000,TERREBONNE | 1.0
unknown,5001,CANYON | 2.0
unknown,5002,HILLSIDE | 14.0
unknown,5003,VALLEY | 3.0
unknown,5004,GRAVE | 14.0
unknown,5005,G | 14.0
unknown,5006,PARK | 8.0
unknown,5007,STATE PARK | 14.0
unknown,5008,GOLF | 14.0
unknown,5009,MARSHALL | 14.0
unknown,5010,SLOAN | 10.0
unknown,5011,PV | 11.0
unknown,5012,DIAMOND | 10.0
unknown,5013,MT ST MARYS | 2.0
unknown,5014,ROMDELL | 14.0
unknown,5015,DAY | 2.0
unknown,5016,SUGARLOAF | 1.0
unknown,5017,BUTTE | 1.0
unknown,5018,BROWN | 1.0
unknown,5019,WHALEBACK | 1.0
unknown,5020,PRISON | 1.0
unknown,5021,BUTTE | 1.0
unknown,5022,OASIS | 4.0
unknown,5023,PINE | 14.0
unknown,5024,RUMSEY | 2.0
unknown,5025,LOCKWOOD | 9.0
unknown,5026,SULPHUR | 9.0
unknown,5027,PONDEROSA | 9.0
unknown,5028,LA BREA | 9.0
unknown,5029,YELLOWJACKET | 2.0
unknown,5030,ORTEGA 2 | 2.0
unknown,5031,FLAT | 1.0
unknown,5032,UPPER | 1.0
unknown,5033,GROUSE | 1.0
unknown,5034,RAIL | 1.0
unknown,5035,49 | 14.0
unknown,5036,SUMMIT | 4.0
unknown,5037,PALA 4 | 14.0
unknown,5038,CHECKPOINT | 9.0
unknown,5039,WILLOW 3 | 14.0
unknown,5040,BASELINE | 14.0
unknown,5041,BEALE | 14.0
unknown,5042,DYER | 14.0
unknown,5043,FIDDYMENT | 14.0
unknown,5044,FORESTHILL | 14.0
unknown,5045,FORTY NINE | 7.0
unknown,5046,MAGNOLIA | 11.0
unknown,5047,MAMMOTH | 9.0
unknown,5048,MANZANITA | 14.0
unknown,5049,MCCOURTNEY | 14.0
unknown,5050,NELSON | 7.0
unknown,5051,RIVERBOTTOM | 14.0
unknown,5052,SPRING | 14.0
unknown,5053,SUNSET | 10.0
unknown,5054,WEST WISE | 14.0
unknown,5055,YUBA | 11.0
unknown,5056,DODGE | 1.0
unknown,5057,MENDIBOUREAU | 1.0
unknown,5058,SNOWSTORM | 1.0
unknown,5059,SAN JUAN | 9.0
unknown,5060,ORTEGA | 2.0
unknown,5061,MILFORD GRADE | 1.0
unknown,5062,HOWLAND | 4.0
unknown,5063,SADDLE | 9.0
unknown,5064,ELEPHANT | 9.0
unknown,5065,SILVER | 9.0
unknown,5066,BLUFF2 | 9.0
unknown,5067,DE LUZ | 14.0
unknown,5068,GRANDE IC | 5.0
unknown,5069,RABBIT | 9.0
unknown,5070,VAIL | 10.0
unknown,5071,TRAM | 9.0
unknown,5072,BANNING | 9.0
unknown,5073,JESUSITA | 2.0
unknown,5074,PALMER | 2.0
unknown,5075,ALISO | 5.0
unknown,5076,CORRAL | 9.0
unknown,5077,EXPLOSIVES | 11.0
unknown,5078,PACHECO | 10.0
unknown,5079,MUSTANG | 5.0
unknown,5080,TRINITY | 1.0
unknown,5081,REDSPOT | 1.0
unknown,5082,JONES | 1.0
unknown,5083,LOWER | 1.0
unknown,5084,SWIFT | 9.0
unknown,5085,HOPEFUL | 5.0
unknown,5086,GOOSE | 1.0
unknown,5087,CHALK | 1.0
unknown,5088,BACKBONE | 1.0
unknown,5089,WILD | 7.0
unknown,5090,MCCLOUD | 1.0
unknown,5091,1-34 | 1.0
unknown,5092,CASSEL | 1.0
unknown,5093,CAVE | 1.0
unknown,5094,CLARK | 1.0
unknown,5095,GOMEZ | 1.0
unknown,5096,VENTURE | 1.0
unknown,5097,COFFIN | 7.0
unknown,5098,EAST FORK
unknown,5099,JERUSALEM
unknown,5100,BLACK | 7.0
unknown,5101,AGER | 9.0
unknown,5102,COVE | 5.0
unknown,5103,OMEGA | 2.0
unknown,5104,PERCH | 5.0
unknown,5105,CHOLAME | 10.0
unknown,5106,CLARK | 2.0
unknown,5107,HIGHWAY | 11.0
unknown,5108,LAKE | 11.0
unknown,5109,NACIMIENTO | 14.0
unknown,5110,CHINA COMPLEX | 1.0
unknown,5111,COFFEE | 9.0
unknown,5112,SHOTGUN | 1.0
unknown,5113,BOULDER2 | 9.0
unknown,5114,FAIRVEW | 9.0
unknown,5115,LION | 1.0
unknown,5116,GRANITE | 1.0
unknown,5117,LAKE | 9.0
unknown,5118,CORRAL | 9.0
unknown,5119,PEAK | 4.0
unknown,5120,POWER | 9.0
unknown,5121,LT-17(BACKBONE) | 1.0
unknown,5122,KNIGHT | 9.0
unknown,5123,MURPHYS | 1.0
unknown,5124,132  | 9.0
unknown,5125,BELOTTA | 14.0
unknown,5126,CLARIBEL | 7.0
unknown,5127,ROCK | 9.0
unknown,5128,TELEGRAPH | 1.0
unknown,5129,VALENTE | 7.0
unknown,5130,WAVERLEY | 9.0
unknown,5131,HILL | 9.0
unknown,5132,BALD | 1.0
unknown,5133,GIBBON | 1.0
unknown,5134,KONDA 2 | 1.0
unknown,5135,KONDA 3 | 1.0
unknown,5136,KONDA 4 | 1.0
unknown,5137,LIGHTNING 1 | 1.0
unknown,5138,LIGHTNING 2 | 1.0
unknown,5139,LIGHTNING 3 | 1.0
unknown,5140,POTHOLES | 1.0
unknown,5141,QEUDOW | 1.0
unknown,5142,ROUND VALLEY 1 | 1.0
unknown,5143,ROUND VALLEY 2 | 1.0
unknown,5144,TRUBLOOD 1 | 1.0
unknown,5145,TRUBLOOD 2 | 1.0
unknown,5146,WHITE RIVER | 1.0
unknown,5147,VINTAGE | 9.0
unknown,5148,CASITAS | 2.0
unknown,5149,RANCHO | 9.0
unknown,5150,GUIBERSON | 14.0
unknown,5151,HAWK | 4.0
unknown,5152,COTTONWOOD | 1.0
unknown,5153,GROUSE | 1.0
unknown,5154,HARDEN | 1.0
unknown,5155,BIG MEADOW | 18.0
unknown,5156,WILDCAT | 1.0
unknown,5157,MEHRTEN | 1.0
unknown,5158,LOST GROVE | 4.0
unknown,5159,HORSE | 1.0
unknown,5160,GRANITE | 1.0
unknown,5161,LOST HORSE | 14.0
unknown,5162,FAIRFIELD | 1.0
unknown,5163,TALL | 14.0
unknown,5164,GILLETTE | 2.0
unknown,5165,EE RANCH | 2.0
unknown,5166,CAREY | 1.0
unknown,5167,CEDAR | 1.0
unknown,5168,CHINA | 1.0
unknown,5169,BROWN | 1.0
unknown,5170,DENNY | 1.0
unknown,5171,ELMORE | 7.0
unknown,5172,GRANITE | 1.0
unknown,5173,GULCH | 2.0
unknown,5174,IRONSIDE | 1.0
unknown,5175,LIME | 1.0
unknown,5176,MILLER | 1.0
unknown,5177,NOBLE | 1.0
unknown,5178,TELEPHONE | 1.0
unknown,5179,TROUGH #1 | 1.0
unknown,5180,ZIEGLER | 1.0
unknown,5181,CUTTHROAT | 9.0
unknown,5182,HALF | 7.0
unknown,5183,SAND FLAT | 1.0
unknown,5184,MEADOWS | 1.0
unknown,5185,BOTTOM | 1.0
unknown,5186,FISHER | 1.0
unknown,5187,MURPHY | 1.0
unknown,5188,SOUTH FORK | 1.0
unknown,5189,SPRINGS | 14.0
unknown,5190,BLUFF | 4.0
unknown,5191,GARNET | 2.0
unknown,5192,FOXBOROUGH | 8.0
unknown,5193,EMERALD | 6.0
unknown,5194,HIGHWAY_198 | 10.0
unknown,5195,BROWN | 1.0
unknown,5196,SARGEANTS | 1.0
unknown,5197,THOMPSON_CYN | 14.0
unknown,5198,SAN_JUAN_GRADE | 1.0
unknown,5199,COTTONWOOD | 2.0
unknown,5200,CARRIZO | 10.0
unknown,5201,MOUNTAIN | 1.0
unknown,5202,ACOMA | 9.0
unknown,5203,BORDER 15 | 19.0
unknown,5204,LAKE | 14.0
unknown,5205,PAINTERS | 1.0
unknown,5206,BTU LIGHTNING COMPLEX | 1.0
unknown,5207,CASTLE | 14.0
unknown,5208,TRABING | 10.0
unknown,5209,MARTIN | 4.0
unknown,5210,QUARRY | 4.0
unknown,5211,PARADISE | 1.0
unknown,5212,HIGH | 1.0
unknown,5213,LARABEE 3 | 1.0
unknown,5214,REDCREST 2 | 1.0
unknown,5215,IAQUA | 1.0
unknown,5216,BAY | 9.0
unknown,5217,STEWART | 11.0
unknown,5218,CARSON | 1.0
unknown,5219,COLONY | 7.0
unknown,5220,TULE | 7.0
unknown,5221,GRAPEVINE-08 | 1.0
unknown,5222,SILVER QUEEN | 14.0
unknown,5223,RANCHERIA | 1.0
unknown,5224,COPUS
unknown,5225,SODA | 3.0
unknown,5226,LOST | 8.0
unknown,5227,D
unknown,5228,SESNON
unknown,5229,STORRS
unknown,5230,CORRAL FIRE | 1.0
unknown,5231,LOOKOUT FIRE | 14.0
unknown,5232,GEYSERS | 5.0
unknown,5233,TAR | 11.0
unknown,5234,CLOVERDALE | 5.0
unknown,5235,PINE | 14.0
unknown,5236,85 | 2.0
unknown,5237,NIESTRATH | 11.0
unknown,5238,KELLY | 14.0
unknown,5239,20 | 10.0
unknown,5240,INDIAN | 7.0
unknown,5241,WALKER | 10.0
unknown,5242,AETNA | 11.0
unknown,5243,CAPELL | 14.0
unknown,5244,RED | 11.0
unknown,5245,DEER | 10.0
unknown,5246,WILD | 14.0
unknown,5247,HARDY CREEK LIGHTNING | 1.0
unknown,5248,LOST PIPE | 1.0
unknown,5249,MIDDLE | 1.0
unknown,5250,BRUSHY 3  | 1.0
unknown,5251,TABLE MTN | 1.0
unknown,5252,INDIAN | 1.0
unknown,5253,COWSHED  LIGHTNING | 1.0
unknown,5254,WILLIAMS | 1.0
unknown,5255,LOW GAP | 1.0
unknown,5256,HORSE | 1.0
unknown,5257,LINCOLN | 1.0
unknown,5258,BRUSHY 8 | 1.0
unknown,5259,BRUSHY 5 | 1.0
unknown,5260,BRUSHY 4 | 1.0
unknown,5261,RED MOUNTAIN LIGHTNING | 1.0
unknown,5262,JACKS | 1.0
unknown,5263,CLIFF RIDGE | 1.0
unknown,5264,NAVARRO | 1.0
unknown,5265,JACK SMITH | 1.0
unknown,5266,ORR SERIES | 1.0
unknown,5267,OSO | 1.0
unknown,5268,LITTLE JUAN CREEK (MRC) | 1.0
unknown,5269,JAMESON | 1.0
unknown,5270,BUTCH | 1.0
unknown,5271,SHAMROCK EAST | 1.0
unknown,5272,TRAVIS 1 | 1.0
unknown,5273,SUGARLOAF | 1.0
unknown,5274,BURGER CREEK | 1.0
unknown,5275,SHAMROCK | 1.0
unknown,5276,BRUSHY 1 | 1.0
unknown,5277,BLUE SLIDE 1 | 1.0
unknown,5278,TRAVIS 3 | 1.0
unknown,5279,CASOOSE CREEK | 1.0
unknown,5280,MIDDLE OUTLET LIGHTNING | 1.0
unknown,5281,BRUSHY 2 | 1.0
unknown,5282,MURPHY RIDGE | 1.0
unknown,5283,PANTHER BASIN | 1.0
unknown,5284,BRUSHY 6 | 1.0
unknown,5285,BRUSHY 7 | 1.0
unknown,5286,FOLSOM | 1.0
unknown,5287,RIDEOUT | 1.0
unknown,5288,1-21 PORK LIGHTNING | 1.0
unknown,5289,TWO ROCK | 1.0
unknown,5290,5-12 WHIPPLE LIGHTNING | 1.0
unknown,5291,SHAMROCK WEST | 1.0
unknown,5292,BLUE NOSE | 1.0
unknown,5293,1-11 RAY SPRINGS LIGHTNING | 1.0
unknown,5294,RIVER 2 | 1.0
unknown,5295,RIVER 1 | 1.0
unknown,5296,LEONARD LAKE | 1.0
unknown,5297,RED HILL | 1.0
unknown,5298,BURNS FLAT | 1.0
unknown,5299,BELL SPRINGS | 1.0
unknown,5300,NORTHFORK CAMP | 1.0
unknown,5301,ALBION RIVER | 1.0
unknown,5302,5-10 CAVANAUGH LIGHTNING | 1.0
unknown,5303,4 MILE | 1.0
unknown,5304,RUNNING SPRINGS | 1.0
unknown,5305,ARCHER | 1.0
unknown,5306,SKUNK 1 | 1.0
unknown,5307,1-6 SKUNK 2 LIGHTNING | 1.0
unknown,5308,TELEGRAPH | 9.0
unknown,5309,41 FIRE | 10.0
unknown,5310,OLD TOLL | 1.0
unknown,5311,ROMERO | 10.0
unknown,5312,ROAD 600 | 1.0
unknown,5313,HWY 140 | 1.0
unknown,5314,MILLERTON | 14.0
unknown,5315,COTTONWOOD | 10.0
unknown,5316,INDIAN PEAK | 1.0
unknown,5317,ANGEL ISLAND FIRE | 8.0
unknown,5318,BEACH FIRE | 11.0
unknown,5319,MONTE | 2.0
unknown,5320,HARBISON | 14.0
unknown,5321,BORDER #14 | 14.0
unknown,5322,SHOCKEY
unknown,5323,CARRIZO | 14.0
unknown,5324,WISE | 14.0
unknown,5325,BASELINE | 7.0
unknown,5326,RIFLE | 9.0
unknown,5327,SUNSET | 10.0
unknown,5328,SPENCEVILLE | 9.0
unknown,5329,SHOOTING | 9.0
unknown,5330,RIEGO | 14.0
unknown,5331,PLANTZ | 14.0
unknown,5332,PHYLLIP | 14.0
unknown,5333,OLD | 14.0
unknown,5334,NICOLAUS | 7.0
unknown,5335,FORESTHILL | 1.0
unknown,5336,LEVEE | 14.0
unknown,5337,MYRNA | 14.0
unknown,5338,IOWA | 2.0
unknown,5339,TWENTY | 1.0
unknown,5340,GLADDING | 7.0
unknown,5341,RIOSA | 14.0
unknown,5342,GILARDI | 14.0
unknown,5343,FINLEY | 7.0
unknown,5344,RAVINE | 2.0
unknown,5345,DEL | 11.0
unknown,5346,ATHENS | 14.0
unknown,5347,CONEJO GRADE 1 | 10.0
unknown,5348,LA JOLLA | 14.0
unknown,5349,SEPULVEDA | 14.0
unknown,5350,GRANDE | 14.0
unknown,5351,YELLOW HILL | 14.0
unknown,5352,POTRERO | 14.0
unknown,5353,WESTLAKE | 14.0
unknown,5354,MULHOLLAND | 14.0
unknown,5355,TRIUNFO | 14.0
unknown,5356,TOPANGA | 10.0
unknown,5357,KANAN | 14.0
unknown,5358,DOS PALMAS | 5.0
unknown,5359,FREEWAY | 10.0
unknown,5360,TEA | 4.0
unknown,5361,WHITE HURST | 1.0
unknown,5362,HUMMINGBIRD | 1.0
unknown,5363,BULLHEAD | 1.0
unknown,5364,SUMMIT | 5.0
unknown,5365,LEDEIT | 18.0
unknown,5366,OLINDA | 14.0
unknown,5367,MOTT | 14.0
unknown,5368,RIDGE | 1.0
unknown,5369,SODA | 14.0
unknown,5370,LOUIE | 7.0
unknown,5371,ROCKY | 1.0
unknown,5372,GUYS | 5.0
unknown,5373,BITTERWATER | 2.0
unknown,5374,CANYON | 2.0
unknown,5375,WHITE | 2.0
unknown,5376,ORCUTT | 1.0
unknown,5377,FRASIER | 10.0
unknown,5378,HIGHWAY | 11.0
unknown,5379,CERRITO | 11.0
unknown,5380,SERPENTINE | 1.0
unknown,5381,POOL 2 - MAIN  | 10.0
unknown,5382,SMITTY | 1.0
unknown,5383,LAGRANGE | 7.0
unknown,5384,FRENCH
unknown,5385,PRUSSIAN 2 | 5.0
unknown,5386,EVANS | 6.0
unknown,5387,WILMS | 7.0
unknown,5388,WARNERVILLE | 9.0
unknown,5389,SONORA | 7.0
unknown,5390,COLYEAR | 18.0
unknown,5391,ANTELOPE | 1.0
unknown,5392,ELK | 7.0
unknown,5393,RODEO | 7.0
unknown,5394,WIGGELL | 7.0
unknown,5395,FOUNTAIN | 9.0
unknown,5396,SIERRA | 11.0
unknown,5397,BERRY | 2.0
unknown,5398,LAKEVIEW | 5.0
unknown,5399,ELECTRA | 11.0
unknown,5400,COOL | 11.0
unknown,5401,FEATHER FALLS | 7.0
unknown,5402,OPHIR | 2.0
unknown,5403,HUMBOLDT | 7.0
unknown,5404,CRAIG | 5.0
unknown,5405,WESTVILLE | 1.0
unknown,5406,GOVERNMENT | 1.0
unknown,5407,PEAVINE | 1.0
unknown,5408,CELINA | 1.0
unknown,5409,FALL | 1.0
unknown,5410,SCOTCHMAN | 1.0
unknown,5411,25TH FIRE | 1.0
unknown,5412,BIGHORN | 14.0
unknown,5413,BURRO | 14.0
unknown,5414,CROSSOVER | 10.0
unknown,5415,POLE | 2.0
unknown,5416,SANTA ANITA | 14.0
unknown,5417,SOUTH | 9.0
unknown,5418,SAYRE | 14.0
unknown,5419,MAREK | 14.0
unknown,5420,VAIL | 10.0
unknown,5421,YANKEE | 9.0
unknown,5422,CAPPS | 1.0
unknown,5423,SOLDIER | 1.0
unknown,5424,BOTTLE | 1.0
unknown,5425,HONEY BEE | 1.0
unknown,5426,TIOGA | 9.0
unknown,5427,SHERWIN | 1.0
unknown,5428,BIG TREES | 1.0
unknown,5429,GOULD | 1.0
unknown,5430,EMPIRE | 9.0
unknown,5431,BULLARDS | 1.0
unknown,5432,FORBESTOWN | 1.0
unknown,5433,GARDEN | 1.0
unknown,5434,MCRAE | 9.0
unknown,5435,SLINKARD | 1.0
unknown,5436,NOMANS | 1.0
unknown,5437,ONION | 1.0
unknown,5438,JACKASS | 1.0
unknown,5439,CARIBOU | 1.0
unknown,5440,ANTHONY MILNE | 1.0
unknown,5441,PANTHER | 1.0
unknown,5442,DARK | 1.0
